,,Ndiss,NH,NO,P,NA,K,pH,C
,,Ndiss,NH4,NO3,P,Na,K,pH,C
St1 C 1,St1 C 1,4.5433,3.3499,-1.204,2.3795,3.7751,4.8065,3.01,3.5234
St1 C 7,St1 C 7,3.5582,2.7147,-1.6094,1.7405,3.1864,4.1821,3.04,3.0865
St1 C 11,St1 C 11,4.5163,3.45,-0.2231,2.2925,3.8243,4.4864,2.91,3.6507
St1 C 12,St1 C 12,3.5695,2.8848,-1.204,1.9601,3.2771,4.2002,3.07,3.0956
St1 S 3,St1 S 3,3.0204,2.0412,-2.3026,1.335,2.5802,3.2542,3.09,1.8563
St1 S 4,St1 S 4,3.0493,1.7405,-2.3026,0.5878,2.4932,3.5205,3.27,2.7912
St1 S 6,St1 S 6,2.9497,1.6677,-1.6094,1.1632,2.2407,3.421,3.29,1.8871
St1 S 10,St1 S 10,3.0204,1.6677,-2.3026,0.7885,2.0794,3.1781,3.48,1.8563
St1 A 2,St1 A 2,3.541,4.5486,-0.2231,2.5494,3.6584,4.5261,2.88,3.6243
St1 A 5,St1 A 5,4.5591,3.5695,-0.3567,2.3888,3.5145,4.4272,2.94,3.3286
St1 A 8,St1 A 8,4.5053,3.434,-0.6931,2.3702,3.434,4.4236,3.05,3.5496
St1 A 9,St1 A 9,4.1109,2.9444,-0.2231,2.0541,3.4372,3.922,2.83,3.6217
St2 C 1,St2 C 1,4.7664,3.6376,1.4351,2.5177,3.912,4.6112,2.9,3.8111
St2 C 6,St2 C 6,4.4188,3.3322,1.0296,2.2925,3.3358,4.0128,2.96,3.3673
St2 C 10,St2 C 10,4.723,3.8395,2.0669,2.6391,3.6661,4.4104,2.88,3.74
St2 C 12,St2 C 12,4.7875,3.6889,1.7405,2.5096,3.5695,4.626,3.02,3.2108
St2 S 4,St2 S 4,5.1533,3.5973,0.1823,3.0155,3.4372,4.8866,3.33,3.2268
St2 S 5,St2 S 5,4.5799,3.1135,-0.5108,2.3514,2.6603,4.0518,3.34,2.4849
St2 S 8,St2 S 8,4.6821,3.7842,2.3125,2.4159,3.4751,4.502,2.84,3.091
St2 S 9,St2 S 9,4.6821,3.3673,1.1632,1.9601,3.0397,4.4728,3.34,1.0986
St2 A 2,St2 A 2,4.8598,3.9608,2.6101,2.6174,3.5695,4.5768,2.77,3.7842
St2 A 3,St2 A 3,4.6587,3.6763,2.0669,2.3125,3.5525,4.5454,2.83,3.5639
St2 A 7,St2 A 7,4.5643,3.1987,0.0953,1.7918,2.9806,4.2877,3.21,3.561
St2 A 11,St2 A 11,5.2122,4.5539,2.7663,2.451,3.5695,4.4864,2.87,3.5779
St3 C 1,St3 C 1,5.179,4.2195,2.5257,3.0253,4.4942,5.1818,2.77,4.372
St3 C 3,St3 C 3,5.0126,4.1431,2.2083,2.8034,4.382,5.0324,2.75,4.1821
St3 C 9,St3 C 9,4.9416,4.1352,1.8245,2.4596,3.8501,4.9733,2.99,3.5381
St3 C 12,St3 C 12,4.6587,3.8286,1.6487,2.451,4.0254,5.1846,2.85,3.791
St3 S 4,St3 S 4,3.4012,4.2905,0.6931,2.9549,3.8816,5.2396,3.15,3.6454
St3 S 5,St3 S 5,4.4942,3.0445,0.5878,2.23,2.9178,4.2905,3.16,3.1739
St3 S 7,St3 S 7,4.7579,3.5695,0.9933,2.1518,3.45,4.4248,3,3.5086
St3 S 11,St3 S 11,4.5901,3.45,0.8755,1.9741,2.4681,4.9373,3.11,3.0773
St3 A 2,St3 A 2,5.0783,4.0943,3.0865,2.7147,4.151,5.0324,2.83,4.0724
St3 A 6,St3 A 6,4.987,4.0943,2.6532,2.4765,4.1897,4.9836,2.73,4.0843
St3 A 8,St3 A 8,5.0304,4.3758,2.4681,2.2407,4.1821,4.6913,2.76,4.0413
St3 A 10,St3 A 10,4.9938,4.3175,2.681,2.451,4.0254,5.23,2.77,3.8898
St4 C 1,St4 C 1,4.8559,3.9318,1.0647,2.5014,4.0775,4.9309,3.07,3.3429
St4 C 4,St4 C 4,5.2231,4.4543,1.3863,2.6741,4.4067,5.4108,3.14,3.6
St4 C 9,St4 C 9,4.4942,3.7377,0.8755,1.8245,3.9797,4.985,3,3.4243
St4 C 12,St4 C 12,5.3157,4.4006,0.9163,2.6319,4.4308,5.4681,3.08,3.3069
St4 S 2,St4 S 2,3.716,2.8848,0.1823,1.5476,2.2618,4.0019,3.48,2.3609
St4 S 5,St4 S 5,4.4188,3.0204,0.8329,1.6292,2.8034,4.9273,3.45,2.2824
St4 S 7,St4 S 7,3.7329,2.8622,0.6931,1.3863,2.8273,4.7441,3.37,2.1861
St4 S 10,St4 S 10,3.2504,2.3609,0.1823,1.1314,2.3702,4.3307,3.27,1.8563
St4 A 3,St4 A 3,4.2341,3.3499,1.361,1.5686,3.4111,4.622,3.04,3.2426
St4 A 6,St4 A 6,4.4485,3.45,1.9169,2.0281,4.0073,5.1688,2.88,3.6507
St4 A 8,St4 A 8,4.4188,3.5553,1.8718,2.6672,4.1589,5.0402,2.85,3.4995
St4 A 11,St4 A 11,4.7406,3.902,1.8083,2.1282,4.3883,5.2528,2.82,3.4045
St5 C 2,St5 C 2,4.8559,4.0518,0.9163,2.0281,5.1818,5.3613,2.74,4.0587
St5 C 4,St5 C 4,3.6636,4.1589,1.411,2.4159,4.6052,5.4617,2.95,3.9259
St5 C 5,St5 C 5,5.0073,4.2485,0.6931,2.5649,4.8203,5.5502,2.93,3.561
St5 C 7,St5 C 7,4.5901,3.7495,0.1823,2.8034,4.151,5.2791,3.02,3.7635
St5 S 1,St5 S 1,3.8199,3.0681,0.6419,1.0986,3.7111,4.1987,3.35,2.1972
St5 S 3,St5 S 3,3.3322,2.6603,0.5306,1.2528,3.0865,3.9982,3.31,2.0919
St5 S 6,St5 S 6,3.8308,2.8848,0.5306,1.8245,3.4436,4.5981,3.22,2.4159
St5 S 8,St5 S 8,3.8089,2.8848,0.8755,1.7405,3.1697,4.5304,3.43,1.8871
St6 C 1,St6 C 1,3.8308,4.1897,1.9315,2.1633,4.2556,5.1299,2.98,3.2771
St6 C 4,St6 C 4,4.5695,3.7257,1.775,2.3125,4.086,6.1192,2.92,3.3945
St6 C 5,St6 C 5,4.6587,3.8501,1.0296,2.4069,1.6094,4.7622,2.98,3.472
St6 C 8,St6 C 8,3.8177,2.9704,1.3863,1.9021,5.0814,5.2263,2.95,2.7081
St6 S 2,St6 S 2,3.5086,2.6946,0.47,1.6864,3.2308,4.967,3.63,1.8405
St6 S 3,St6 S 3,3.6661,2.7014,0.7885,1.775,3.0634,4.8729,3.44,2.0015
St6 S 6,St6 S 6,3.3673,2.1972,0.0953,1.8718,2.8214,4.432,3.41,1.5892
St6 S 7,St6 S 7,3.902,2.9178,0.3365,1.7228,2.8736,4.8418,3.73,1.7579
