"AC001A","AC013A","AC013E","AM011A","AM012A","AS001A","AU002A","AU003B","CC001A","CC002A","CC9997","CM004A","CO001A","CY002A","CY003A","CY009A","CY011A","FR001A","FR002A","FR002C","FR006A","FR006E","FR009B","FR018A","FR019A","GO013A","NA004A","NA007A","NA022A","NA042A","NA114A","NI009A","NI014A","NI015A","NI083A","NI196A","NI9969","NI9971","OP001A","ST001A","ST002A","ST010A","SU016A","SY002A","SY003A","SY003C","SY010A","UN9992"
"X004",0,0.55,0,0.74,0.92,1.66,4.6,0,0,0,0,0,0.18,1.11,0,0,0,3.13,5.53,7,53.22,0,0,0,0,0,0,0,0,0,4.97,0.37,0,0.18,0,0,0,0,0,0.18,0,0.55,0,0,3.13,0.92,0,0
"X007",0.36,3.4,0,1.07,8.05,0.36,0,0,2.15,3.4,0,0,3.94,1.97,3.04,0,0.72,3.22,0,0.18,1.07,0,2.68,1.25,0.18,1.07,0.36,0.89,0,0,0,1.97,0.72,0.72,0,0,0,0,0,2.5,3.22,7.87,0,0,3.94,0,0,0
"X031",0.9,1.08,0,0.9,5.39,0,0,0,0,0.18,0.18,0,0.72,0,0,0,0,2.15,7.54,37.52,18.13,0,0,0.72,1.44,0.54,0,0,0,0,1.44,0,1.98,0,0,0,0,0,0,3.59,0,1.79,0,0,0.54,0.18,0,0
"X034",0.17,0.52,0,0.69,0.35,0,0,0,9.69,7.96,15.23,0,0.52,3.46,2.77,0,9.17,2.77,0,1.38,3.11,0,0,4.67,0.52,0,0.17,0.35,0,0.17,0,0.17,0,2.08,0,0,0,0,0,6.92,0.52,10.03,0.35,0,0,0,0,0
"X037",0,6.84,0,2.54,2.34,0.19,0,0,0,0,0,0,2.15,0.59,0.19,0,0,1.17,0.98,1.95,8.4,0,33.59,1.37,0,2.34,0,0.98,0,0,0,1.95,1.56,0.39,0,0.59,0,0,0,0.98,0.39,1.56,0,0,0,0,0,0
"X042",0.18,0.91,0,0,0.73,0.36,14.03,0,0,0,0,0,0.91,0,0,0,0,10.02,18.4,5.46,26.41,0,0,7.47,0,0,0,0.36,0,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X050",1.6,10.02,0,0,0,2.4,0,0,0.2,0.2,0,0,2.4,25.65,1.2,0,0.2,0,0,0,0,0,0.2,0.2,6.01,3.01,1.4,6.41,0,1,3.61,0.4,0,0.2,0,0.4,0,0,0,0,0,0,0,6.21,1.4,0,0,0
"X053",0.56,2.64,0,0.94,0,2.83,9.6,0,0,2.26,0,0,0,10.92,0.94,0,0.75,0.38,0,3.77,0,0,0,3.95,1.88,0.75,0.38,2.26,1.7,0.19,0.38,1.32,0,0.38,0,1.13,0,0,0,1.13,2.45,0.75,0.19,0,1.7,0,0,0
"X057",31.38,1.38,0,0.34,0.34,0,0,0,0,0,0,0,0,0,0.17,0,0,0.86,0,8.1,0.69,0,0,0.34,1.21,0,0.52,0.52,0,0.86,8.62,1.55,0,0.17,0,0.52,0,0,7.76,0,0,0,0,0,0,0,0,0
"X058",0.51,7.78,0,0.34,0,1.18,0.34,0,0,0,0,0,4.06,1.69,1.35,0,0,2.37,0,25.38,0,0,0.17,9.65,0.51,0.85,0,0.34,0.17,0.85,4.57,0.85,0,0,0,0,0,0,0,0,0,0,0,2.2,1.86,0,0,4.57
"X065",0,0.35,0,0,0,0.71,0,0.18,0,9.73,3.19,0,0.35,16.11,29.56,0,6.02,0.35,0.71,0.35,0,0,0,0,0.18,0,0,0.35,0,0,0.35,0.53,0,0,0,0,0,0,0,3.54,14.87,2.48,0,0,1.06,0,0,0
"X069",1.7,5.59,0,0,0.85,0,0,0,0,3.22,3.05,0,1.02,12.37,1.86,0,0.85,0,0,0,0,0,0.68,0,0.17,0,0,3.73,0,2.37,4.75,1.19,0.34,0,0,0.34,0,0,0,2.88,12.88,11.02,0,0,6.78,0,0,0
"X073",2.19,3.03,0.84,1.35,0,0,0,0,0,6.9,0,0,1.51,7.41,2.02,0,0,0,0,0,0,0,3.7,0,0,1.01,1.85,7.24,0,5.39,7.91,3.37,0,1.51,0,3.87,0,0,0,0.17,2.53,8.92,0,0,2.19,0,0,0
"X074",0.55,14.99,0,0.37,0,1.46,5.48,10.42,0,0.73,0,0,5.48,24.68,0.18,0,0.37,0,0,0.18,0,0,0,0,0.18,1.1,0.55,0.73,0.37,0,0,0.55,0,0,0,0,0,0,0,0,0,2.74,0,0.73,3.29,0,0.18,6.76
"X076",0,4.42,0,0.49,2.13,0,0,0,0,1.15,9.82,0,2.29,55.65,0.16,0,0,0,0.16,0,0,0,0.65,0,0.33,0.49,0.16,0.16,0,0,0.16,0,0.16,0.49,0,0,0,0,0,0.98,0.49,1.15,0,0,0.33,0,0,0
"X079",0.2,14.76,0,2.36,7.87,0,0,0,0,0,0,3.15,1.77,3.94,0.2,0,0.2,0,0,1.38,0.79,0,0,0,1.58,0.59,1.58,0,0,0,0,0.98,0.98,5.71,0,1.38,0,0,0,0,0,2.16,0,0,0.2,0,0.39,0
"X082",0,4,0,0.18,0.55,0,0,0,0.36,0,0,0,0,0,0,0,0,2,0.91,4.73,1.82,0,0,11.09,0,0,0.36,3.27,3.64,0,0,7.64,0.18,4.36,0,3.27,0,5.45,0,0,0,0,12.18,0,0,0,0,0
"X083",0.56,5.2,0,0,0,0,0.74,0,0,0,0,0,1.67,0.74,0,0,0,2.41,1.48,23.01,2.97,14.1,0,18.74,0,0.19,0.93,0.19,0,1.11,0.19,0,0,0.37,0,0,0,0,0,0,0,0,0.19,0,0.19,0,0.19,0
"X085",0.89,17.83,0,0.36,0,9.45,0,0,0,0.18,0,0,0.18,0,0.18,0,0.36,0,0,0.18,0.36,0,0,0,0,2.5,0.89,1.07,1.07,0.36,0,0.36,0,0,0,0.36,0,0,0,0,0,0.18,0,4.64,0,8.02,5.53,0
"X086",0.95,5.39,0,0.63,4.28,0,0,0,0,0,0,0.47,1.27,3.64,0.47,0,0,10.78,0,12.84,0,0,0,17.43,0,0.47,0.95,0,0,0.32,0.47,2.69,0.63,0.47,0,0,13.79,0,0,0,0,0,0,0,0.32,0,0,0
"X098",0.2,0.98,0,0.59,2.15,17.42,0,0,0,6.85,10.76,0,0.39,11.35,0.78,0,0,0.78,0,1.37,0.98,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,2.15,9,16.83,0,0,4.11,1.57,0,0
"X100",0.35,0.35,0,5.1,3.69,0,0,0,0,15.99,3.69,0,0,35.15,0,0,0,0.7,2.99,0,0,0,0,0,0.35,0,0.53,0,0,0,0,0,0,0.18,0,0,0,0,0,4.74,6.33,0,0,0,0.88,0,0,0
"X101",0,26.62,0,0,0,0,0,0,0,0,0,0.35,0,0,0.35,0,0,0,0,35.03,0,0,0,1.93,0,1.4,0,1.93,1.23,0,0.35,1.4,0,0,0,0.17,0,0,0,0,0,0,0.35,0,1.05,1.4,0,0
"X105",0.34,24.74,16.21,0.51,0,0,0,0,0,0,0,4.44,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,2.22,0.34,0,0,4.61,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X107",0,0,0,0.88,4.2,0,0,0,42.03,3.68,4.38,0,0.17,11.56,0,0,0,0,0,0,0.17,0,0,0,0.7,0,1.05,0,0.35,0.17,0.17,1.23,0.7,1.4,0,0,0,0,0,5.25,1.23,5.6,0,0,0.17,0,0,0
"X108",0.97,5.97,0,0.48,5,0,0,0,0,0,0,0,0.16,0,0,0,0,45.81,0,8.23,16.13,0,0,0,4.84,0.48,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,0,0,0,0.48,0,0,0
"X112",0.34,2.35,0,0,2.35,0,0,0,0,0,0,0,0,0.17,0,0,0,20.64,8.89,19.13,37.75,0,0,0,0,0,0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"X113",0.15,0.61,0,0,1.37,23.02,0,0,0,0,0,0,0,8.08,0.15,13.26,0,0,0,1.07,1.52,0,0,2.59,0,0,0,0.15,0,0,0.31,0,0.31,0.61,0,0,0,0,0,0,0,35.21,0,0,1.22,1.07,0,0
"X114",0,13.74,0,0.55,0.92,0,0,0,0,0,0,33.33,1.83,0,0,0,0,0.18,0,0,0,0,0,0.18,0,0.37,0,1.1,0.18,1.65,0,0.92,0,0.73,0.18,5.68,0,0,0,0,0,0,0,0,0.92,0,0,0
"X120",0.93,1.12,0,0,1.68,0.19,0,2.23,14.34,2.05,33.52,0.19,0,0,0.19,0.19,0,0.75,0,1.3,0.56,0,0,0,0.37,0,0,0,0,0,0,0.56,0.56,0.37,0,0,0,0,0,5.96,5.4,13.22,0,0,2.05,2.42,0,0
